clip_name,run,mapping_version,constants_sha1,T,dur_s,sat_j1,sat_j2,sat_j3,sat_j4,sat_j5,sat_max,rate_cap_frac,max_rate,jerk_rms,range_max_rad,light_range,light_step_per_s,light_max_step,r_head,r_lift,r_yaw,dyn_rms_deg,dyn_max_deg,flags,severity
anim_codelab_getin_01,v1.0-baseline,1.0,678e3a5a74fe,133,4.356,0,0,0,0,0,0,0,3.63733,14079.4,0.689083,0.306651,0,0.211931,0.981219,0.604483,,,,,0
anim_codelab_getout_01,v1.0-baseline,1.0,678e3a5a74fe,63,2.046,0,0,0,0,0,0,0.177419,4,42694.2,1.03867,0.584512,0.977517,0.584512,0.958006,0.103023,0.991572,,,RATE;LOWCORR,22.097
anim_codelab_ghoulish_creeping_01,v1.0-baseline,1.0,678e3a5a74fe,66,2.145,0,0,0,0,0,0,0,2.57456,11575.4,0.513571,0.584867,0,0.236023,0.99306,0.319138,,3.13169,7.44303,DYN,25
anim_codelab_kitchen_eating_01,v1.0-baseline,1.0,678e3a5a74fe,131,4.29,0,0,0,0,0,0,0,3.89833,24064.4,0.771429,0.561456,0,0.271236,0.963426,0.922657,0.971953,,,,0
anim_codelab_kitchen_yucky_01,v1.0-baseline,1.0,678e3a5a74fe,74,2.409,0,0,0,0,0,0,0.369863,4,67795.1,1.53203,0.777517,2.49066,0.777517,0.91622,0.765834,0.93421,,,RATE;FLICKER,24.795
anim_codelab_lightshow_idle,v1.0-baseline,1.0,678e3a5a74fe,304,9.999,0,0,0,0,0,0,0.148515,4,30061.1,1.40148,0.710824,0.20002,0.475668,0.967946,0.928633,0.981656,,,RATE,5.941
anim_codelab_magicfortuneteller_inquistive,v1.0-baseline,1.0,678e3a5a74fe,102,3.333,0,0,0,0,0,0,0.049505,4,18744.1,0.956672,0.237693,0,0.193936,0.91917,0.989043,,,,,1.98
anim_codelab_rooster_01_head_angle_20,v1.0-baseline,1.0,678e3a5a74fe,77,2.508,0,0,0,0,0,0,0.118421,4,29669.4,0.861264,0.478836,1.19617,0.428063,0.976422,0.373763,,,,RATE;FLICKER,14.737
anim_codelab_rooster_01_head_angle_40,v1.0-baseline,1.0,678e3a5a74fe,77,2.508,0,0,0,0,0,0,0.118421,4,29562.4,0.859933,0.478836,1.19617,0.428063,0.977568,0.373763,,,,RATE;FLICKER,14.737
anim_codelab_scarycozmo_01,v1.0-baseline,1.0,678e3a5a74fe,53,1.716,0,0,0,0,0,0,0,2.06587,9775.8,0.221557,0.710446,0.582751,0.522622,0.874006,-0.414156,,,,LOWCORR,15
anim_codelab_sheep_01,v1.0-baseline,1.0,678e3a5a74fe,131,4.29,0,0,0,0,0,0,0,3.96785,11182.6,0.682308,0.0947196,0,0.0947196,0.998625,,,,,,0
anim_codelab_staring_loop,v1.0-baseline,1.0,678e3a5a74fe,161,5.28,0,0,0,0,0,0,0,0.621517,1680.4,0.0548502,0.466276,0,0.29494,,,,,,,0
anim_codelab_tiger_01_head_angle_-20,v1.0-baseline,1.0,678e3a5a74fe,257,8.448,0,0,0,0,0,0,0.160156,4,40852.7,1.03188,0.719202,0.710227,0.554053,0.965391,-0.0797954,0.866194,,,RATE;LOWCORR,21.406
anim_codelab_tiger_01_head_angle_20,v1.0-baseline,1.0,678e3a5a74fe,257,8.448,0,0,0,0,0,0,0.125,4,37009.7,1.03188,0.719202,0.710227,0.554053,0.983217,0.271515,0.866194,,,RATE;LOWCORR,20
anim_codelab_tiger_01_head_angle_40,v1.0-baseline,1.0,678e3a5a74fe,257,8.448,0,0,0,0,0,0,0.113281,4,36887.1,1.03188,0.719202,0.710227,0.554053,0.983865,0.271515,0.866194,,,RATE;LOWCORR,19.531
anim_codelab_tinyorchestra_conducting,v1.0-baseline,1.0,678e3a5a74fe,185,6.072,0,0,0,0,0,0,0.048913,4,19315.9,1.11599,0.119636,0,0.103775,0.945568,0.961216,0.913546,,,,1.957
anim_codelab_tinyorchestra_takataka_01,v1.0-baseline,1.0,678e3a5a74fe,20,0.627,0,0,0,0,0,0,0.105263,4,26069.7,0.494644,0.148077,0,0.0845659,0.955558,0.988127,,,,SHORT;RATE,14.211
anim_codelab_vampirebite_01,v1.0-baseline,1.0,678e3a5a74fe,99,3.234,0,0,0.050505,0,0,0.050505,0.132653,4,56383.1,1.05771,0.581355,0,0.26608,0.936297,0.66516,0.955363,,,SAT;RATE,10.357
anim_codelab_zombiecrawl_01,v1.0-baseline,1.0,678e3a5a74fe,131,4.29,0,0,0,0,0,0,0,3.96785,11182.6,0.682308,0.0947196,0,0.0947196,0.998625,,,,,,0
