clip_name,run,mapping_version,constants_sha1,T,dur_s,sat_j1,sat_j2,sat_j3,sat_j4,sat_j5,sat_max,rate_cap_frac,max_rate,jerk_rms,range_max_rad,light_range,light_step_per_s,light_max_step,r_head,r_lift,r_yaw,dyn_rms_deg,dyn_max_deg,flags,severity
anim_greeting_happy_03_head_angle_40,v1.1,1.1,2fa8bc4f5012,95,3.102,0,0,0,0,0,0,0.138298,4,54331.4,1.06908,2.37823e-05,0,1.43647e-05,0.975913,0.852957,0.89986,,,RATE,5.532
anim_guarddog_cubedisconnect_01,v1.1,1.1,2fa8bc4f5012,16,0.495,0,0,0,0,0,0,0,3.12769,30573.9,0.282419,0.000306308,0,0.000107825,0.936815,0.896777,,,,SHORT,10
anim_guarddog_fakeout_01,v1.1,1.1,2fa8bc4f5012,198,6.501,0,0,0,0,0,0,0.0558376,4,26656.7,0.719314,0.690246,0,0.066,0.912159,0.0683242,,,,RATE;LOWCORR,17.234
anim_guarddog_fakeout_02,v1.1,1.1,2fa8bc4f5012,133,4.356,0,0,0,0,0,0,0,3.69992,14809.5,0.455825,0.271704,0,0.066,0.990901,0.94966,,,,,0
anim_guarddog_fakeout_03,v1.1,1.1,2fa8bc4f5012,127,4.158,0,0,0,0,0,0,0.103175,4,33642.6,0.911171,0.572549,0,0.066,0.660337,0.537738,0.927237,,,RATE,4.127
anim_guarddog_getout_busted_01,v1.1,1.1,2fa8bc4f5012,264,8.679,0,0,0,0,0,0,0.174905,4,51900.1,1.57822,0.500623,0,0.066,0.843973,0.8895,0.704972,,,RATE,6.996
anim_guarddog_getout_playersucess_01,v1.1,1.1,2fa8bc4f5012,296,9.735,0,0,0,0,0,0,0.0440678,4,26463.7,0.87215,0.649248,0,0.066,0.918919,0.530498,0.862565,,,,1.763
anim_guarddog_getout_timeout_01,v1.1,1.1,2fa8bc4f5012,171,5.61,0,0,0,0,0,0,0,3.85285,11646.9,0.570705,0.598906,0,0.066,0.983187,0.963876,,,,,0
anim_guarddog_getout_timeout_02,v1.1,1.1,2fa8bc4f5012,115,3.762,0,0,0,0,0,0,0.0175439,4,18693.2,0.518152,0.538717,0,0.066,0.925633,0.374057,0.972638,,,,0.702
anim_guarddog_getout_touched_01,v1.1,1.1,2fa8bc4f5012,181,5.94,0,0,0,0,0,0,0.116667,4,33989.1,0.889632,0.542124,0,0.066,0.894582,0.740325,0.838027,,,RATE,4.667
anim_guarddog_getout_untouched_01,v1.1,1.1,2fa8bc4f5012,26,0.825,0,0,0,0,0,0,0,2.78956,10435.5,0.296532,0.488558,0,0.066,0.984578,,,,,SHORT,10
anim_guarddog_getout_untouched_02,v1.1,1.1,2fa8bc4f5012,71,2.31,0,0,0,0,0,0,0,2.96561,26041.7,0.454747,0.391036,0,0.066,0.965819,0.93865,,,,,0
anim_guarddog_interruption_01,v1.1,1.1,2fa8bc4f5012,242,7.953,0,0,0,0,0,0,0.0580913,4,42489.1,0.885889,0.645531,0,0.066,0.949476,0.430718,0.96451,,,RATE,2.324
anim_guarddog_pulse_01,v1.1,1.1,2fa8bc4f5012,10,0.297,0,0,0,0,0,0,0,3.13696,31018.6,0.318528,0,0,0,0.950669,0.83083,,,,TINY;SHORT,20
anim_guarddog_settle_01,v1.1,1.1,2fa8bc4f5012,296,9.735,0,0,0,0,0,0,0.0135593,4,7528.11,1.08302,0.462962,0,0.066,0.914725,0.957545,0.487252,,,,0.542
anim_guarddog_sleeploop_01,v1.1,1.1,2fa8bc4f5012,200,6.567,0,0,0,0,0,0,0,1.58432,2890.49,0.284651,0.25289,0,0.066,0.976843,,,2.27924,4.12571,,0
anim_guarddog_sleeploop_02,v1.1,1.1,2fa8bc4f5012,351,11.55,0,0,0,0,0,0,0,0.744983,1717.61,0.138585,0.217706,0,0.066,0.977103,,,,,,0
anim_hiccup_01,v1.1,1.1,2fa8bc4f5012,48,1.551,0,0,0,0,0,0,0.0212766,4,30854.8,0.583476,0.0805116,0,0.066,0.965991,0.30655,,,,,0.851
anim_hiccup_02,v1.1,1.1,2fa8bc4f5012,95,3.102,0,0,0,0,0,0,0.0319149,4,26838.8,0.645962,0.0805116,0,0.0436654,0.86647,0.805594,,,,,1.277
anim_hiccup_faceplant_01,v1.1,1.1,2fa8bc4f5012,131,4.29,0,0,0,0,0,0,0.123077,4,34471.3,1.12417,0.474637,0,0.066,0.871425,0.369362,,,,RATE,4.923
anim_hiccup_faceplant_02,v1.1,1.1,2fa8bc4f5012,71,2.31,0,0,0,0,0,0,0.271429,4,48109.2,1.39377,0.415919,0,0.066,0.823457,0.702079,,,,RATE,10.857
